subject,Trial,Degree,Picturetype,numfix,headfix,bodyfix,accuracy
102,1,0,1,0,0,0,1
102,2,315,2,1,0,0,1
102,3,270,2,0,0,0,0
102,4,315,1,0,0,2,1
102,5,270,1,3,0,0,1
102,6,0,1,0,0,0,1
102,7,90,3,0,0,0,1
102,8,315,1,5,0,0,1
102,9,180,1,0,0,0,1
102,10,270,3,0,0,0,1
102,11,45,3,0,0,6,1
102,12,315,3,19,0,0,1
102,13,135,1,0,0,0,1
102,14,180,2,0,0,0,1
102,15,0,2,0,0,0,1
102,16,135,2,0,0,0,1
102,17,90,1,0,2,3,1
102,18,270,3,0,0,0,1
102,19,225,1,0,0,0,1
102,20,225,2,9,0,0,1
102,21,45,3,0,0,0,1
102,22,0,2,0,0,0,1
102,23,225,3,0,0,0,1
102,24,135,1,0,0,0,1
102,25,135,2,0,0,0,1
102,26,315,1,0,0,0,1
102,27,225,3,0,0,3,1
102,28,135,2,0,0,3,1
102,29,315,3,7,0,0,1
102,30,315,2,0,0,0,1
102,31,225,2,0,0,0,1
102,32,45,2,0,0,0,1
102,33,180,3,0,0,2,1
102,34,180,2,0,0,0,1
102,35,0,1,0,0,0,1
102,36,225,3,0,0,0,1
102,37,225,1,0,0,8,1
102,38,45,3,5,0,0,1
102,39,180,2,0,0,0,1
102,40,0,3,1,0,0,1
102,41,315,2,7,0,0,1
102,42,270,1,0,0,0,1
102,43,135,3,11,0,0,1
102,44,135,3,0,0,0,1
102,45,45,1,7,0,0,1
102,46,90,2,0,0,0,1
102,47,0,2,0,0,0,1
102,48,45,1,0,0,0,1
102,49,225,3,0,0,0,1
102,50,90,2,0,0,0,1
102,51,180,1,11,0,0,1
102,52,135,3,0,0,0,1
102,53,270,2,0,0,0,1
102,54,90,3,0,0,0,1
102,55,0,3,0,0,0,1
102,56,180,3,0,0,0,1
102,57,90,1,0,0,0,1
102,58,90,3,0,0,0,1
102,59,180,1,0,0,0,1
102,60,315,3,0,0,0,1
102,61,90,3,0,0,0,1
102,62,45,2,0,0,0,1
102,63,225,2,0,0,0,1
102,64,225,1,0,0,0,1
102,65,45,1,0,0,0,1
102,66,45,3,0,0,0,1
102,67,270,3,0,0,0,1
102,68,135,1,0,0,0,1
102,69,270,1,0,0,0,1
102,70,0,1,10,0,2,1
102,71,315,3,0,0,0,1
102,72,180,3,0,0,0,1
102,73,315,2,0,0,0,1
102,74,315,1,0,0,0,1
102,75,0,3,0,0,0,1
102,76,45,2,0,0,0,1
102,77,180,1,0,0,0,1
